Radu,Cappuccino:1,Croissant with Jam:1,17.50
Andrei,Hot Chocolate:2,Sandwich vegetarian:1,28.00
Ioana,Espresso:2,Muffin:2,20.00
Elena,Mocha:1,Panna Cotta with Berries:1,24.00
Laura,Black Tea:2,Carrot Cake:1,21.50
Bogdan,Cappuccino:1,Banana Smoothie:2,24.00
Roxana,Latte:2,Avocado Smoothie:1,28.00
Sorin,Cold Brew Coffee:1,Peach Iced Tea:1,21.50
Maria,Iced Latte:2,Tiramisu:1,26.00
Mircea,Espresso:2,Spinach and Feta Focaccia:1,24.50
Ana,Mocha:1,Mango Smoothie:1,23.50
Claudia,Cappuccino:2,Blueberry Muffin:1,26.00
Daciana,Iced Coffee:1,Hot Chocolate:1,21.50
Vlad,Green Tea:2,Raspberry Sorbet:1,26.00
Ioana,Iced Tea:2,Lemon Drizzle Cake:1,23.50
Roxana,Cappuccino:1,Croissant with Jam:2,23.50
Andrei,Fruit Smoothie:1,Sandwich cu pui:1,29.50
Paul,Espresso:3,Lemon Cucumber Lemonade:2,30.50
Claudia,Latte:2,Focaccia with tomatoes:1,26.50
Laura,Mocha:2,Avocado Smoothie:1,27.00
