Andrei,Cappuccino:1,Sandwich vegetarian:2,26.00
Ioana,Latte:2,Hot Chocolate:1,26.50
Elena,Americano:1,Muffin:2,22.50
Radu,Green Tea:2,Tiramisu:1,26.00
Gabriela,Black Coffee:2,Chocolate Chip Muffin:1,21.00
Bogdan,Espresso:2,Avocado Smoothie:1,26.00
Sorin,Iced Latte:1,Focaccia with tomatoes:1,21.50
Claudia,Cold Brew Coffee:2,Lemon Drizzle Cake:1,27.00
Laura,Mocha:1,Spinach and Feta Focaccia:1,23.00
Maria,Iced Coffee:1,Peach Lemonade:2,24.50
Ruxandra,Cappuccino:2,Panna Cotta with Berries:1,28.00
Paul,Iced Green Tea:2,Chicken Avocado Sandwich:1,27.00
Roxana,Espresso:3,Fruit Smoothie:1,30.50
Daciana,Black Tea:1,Carrot Cake:2,23.00
Mihai,Latte:1,Hot Chocolate:1,21.50
Ioana,Mocha:2,Lemon Cheesecake:1,27.00
Laura,Iced Tea:2,Focaccia with rosmary:1,23.50
Mircea,Espresso:2,Sandwich cu pui:1,27.50
Vasile,Cappuccino:1,Cold Brew Coffee:2,26.00
Roxana,Iced Matcha Latte:1,Lemon Cucumber Lemonade:2,28.00
